Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.21,-2.13,2.38,-1.21,1.97,-1.7,3.35,0.1,1.2,-2.4,2.29,-0.56,0.75,-2.13,5.21,1.03,1.09,-2.61,4.02,0.72,0.8,-2.36,5.3,2.15
SOUTHERN EASTERN,4.84,1.01,2.4,-0.54,2.54,-1.04,4.57,1.34,0.0,0.0,2.7,-0.43,2.14,-1.1,4.21,0.0,0.83,0.0,5.42,2.11,0.0,0.0,5.29,0.47
SHORE              01,4.13,0.11,2.39,-1.06,3.51,-1.12,5.14,1.8,0.89,-2.78,2.44,-1.18,3.44,-0.05,2.98,-1.74,1.16,-2.83,5.67,2.24,1.13,-2.04,3.94,0.31
ASSATEAGUE               ,4.04,-0.05,2.58,-0.98,3.5,-1.98,4.39,0.98,0.92,-2.95,2.48,-1.09,4.49,-2.98,1.86,-3.13,1.45,-2.28,2.88,-0.76,0.89,-2.41,4.03,0.0
PRINCESS ANNE            ,3.15,-0.87,2.83,-0.58,2.69,-1.42,4.58,1.34,0.87,-2.77,2.64,-0.79,1.5,-1.42,3.42,-1.98,1.56,-2.19,4.96,1.54,0.95,-2.36,4.5,1.02
SALISBURY                ,3.67,-0.33,2.52,-0.9,3.06,-0.11,4.41,1.15,0.97,-2.65,2.51,-0.87,2.89,-2.54,3.37,-1.37,1.32,-2.44,4.59,1.22,0.94,-2.24,4.42,0.08
SALISBURY FAA AP         ,4.6,0.49,2.52,-0.83,4.33,0.0,5.35,1.85,1.14,-2.99,2.66,-0.81,1.68,-0.9,4.98,0.88,2.92,-1.07,4.38,0.92,1.5,-1.93,3.75,1.09
SNOW HILL 4 N            ,5.15,1.41,2.36,-0.97,4.01,0.04,5.9,2.57,1.28,-2.24,4.26,0.54,2.96,-1.87,3.48,-0.89,1.76,-1.76,3.72,0.58,1.36,-1.76,4.37,0.57
--DIVISIONAL DATA------->,4.88,0.9,2.44,-0.87,4.33,-1.49,5.63,2.24,1.21,-2.7,3.46,-0.09,2.32,-2.51,4.23,-0.03,2.34,-1.48,4.05,0.81,1.43,-1.86,4.06,-0.53
CENTRAL EASTERN,3.89,-0.1,3.43,0.06,3.14,0.0,3.59,0.1,1.23,-2.99,1.46,-2.81,1.97,0.0,1.96,-1.98,1.35,-3.03,4.79,0.87,1.64,-1.79,2.87,0.0
